symbol,ticker,exchange,qualified_pct,typ_annual_vol_pct,cagr_pct,buyhold_cagr_pct,profit_factor,max_dd_pct,trades_per_year,source_lists
NYSE:HAL,HAL,NYSE,77,35.7,3.3,2.0,1.87,30.5,5.2,TC-Exceptional
NYSE:BABA,BABA,NYSE,75,37.6,-3.2,2.6,0.75,57.3,7.2,RebelAI
NYSE:BBWI,BBWI,NYSE,73,41.5,1.8,0.8,1.24,45.0,5.5,TC-Core
NYSE:BFH,BFH,NYSE,72,35.1,2.8,9.9,1.52,31.3,6.4,TC-Core
NASDAQ:AMAT,AMAT,NASDAQ,69,37.8,4.2,11.2,2.60,50.1,4.3,TC-Core
NYSE:SQM,SQM,NYSE,69,34.9,3.6,12.6,1.47,47.3,5.8,TC-Core
NYSE:VLO,VLO,NYSE,69,34.3,6.4,17.3,2.65,28.4,5.7,TC-Kckass
NASDAQ:NXPI,NXPI,NASDAQ,69,39.3,3.2,19.2,1.55,23.9,6.4,TC-Core
NASDAQ:AMZN,AMZN,NASDAQ,65,36.6,-2.1,16.7,0.74,68.9,6.9,TC-Core | RebelAI
NYSE:NOW,NOW,NYSE,64,40.2,7.1,25.3,6.48,25.1,5.9,RebelAI
NASDAQ:QRVO,QRVO,NASDAQ,64,42.2,-0.2,2.7,0.97,31.4,6.9,TC-Speculative
NYSE:CRM,CRM,NYSE,64,35.9,1.9,18.6,1.24,32.8,6.4,TC-Kckass | RebelAI
NYSE:SPOT,SPOT,NYSE,62,44.0,0.8,14.9,1.07,40.6,5.4,TC-Speculative
NASDAQ:AVGO,AVGO,NASDAQ,59,34.6,7.0,38.8,3.32,22.3,5.5,RebelAI
NYSE:WMB,WMB,NYSE,58,30.5,4.4,4.3,2.58,46.4,4.6,TC-Kckass
NASDAQ:ISRG,ISRG,NASDAQ,54,37.4,4.5,22.1,1.95,52.3,6.9,TC-Core
NASDAQ:MNST,MNST,NASDAQ,54,36.2,12.1,33.4,2.07,59.5,5.7,TC-Core
NYSE:F,F,NYSE,50,35.8,0.4,-2.7,1.07,57.4,5.3,TC-Exceptional
NYSE:HPQ,HPQ,NYSE,50,34.4,1.4,0.2,1.31,38.4,5.6,TC-Core
NYSE:MS,MS,NYSE,50,31.8,-0.5,4.4,0.89,63.8,5.6,TC-Exceptional
NASDAQ:TMUS,TMUS,NASDAQ,47,30.2,0.8,6.4,1.16,47.0,5.5,TC-Kckass
NASDAQ:PYPL,PYPL,NASDAQ,45,35.6,-0.2,4.5,0.98,49.6,5.7,TC-Speculative
NASDAQ:META,META,NASDAQ,43,37.9,7.1,21.3,1.95,42.5,6.1,RebelAI
NASDAQ:DLTR,DLTR,NASDAQ,42,34.0,3.3,9.8,1.50,49.2,5.2,TC-Kckass
NASDAQ:ADBE,ADBE,NASDAQ,42,33.3,2.1,11.0,1.36,56.0,5.7,RebelAI
NYSE:DELL,DELL,NYSE,40,35.6,13.1,43.5,5.57,20.2,7.2,RebelAI
NASDAQ:INTC,INTC,NASDAQ,38,32.6,3.4,3.2,1.87,38.9,5.5,RebelAI
NYSE:TSM,TSM,NYSE,38,32.4,3.6,12.6,2.42,46.9,6.1,RebelAI
NYSE:UNM,UNM,NYSE,38,31.5,2.0,4.2,1.39,40.9,5.9,TC-Kckass
NASDAQ:AAPL,AAPL,NASDAQ,38,30.9,4.1,24.2,2.13,78.0,6.8,TC-Core
NYSE:C,C,NYSE,35,30.2,-1.1,-4.0,0.82,66.5,4.8,TC-Core
NYSE:ORCL,ORCL,NYSE,35,30.0,0.7,6.1,1.10,34.4,6.4,RebelAI
NASDAQ:SBUX,SBUX,NASDAQ,35,28.5,7.2,14.2,3.88,22.6,4.1,TC-Exceptional
NYSE:NVO,NVO,NYSE,27,28.5,1.8,14.2,1.34,49.6,6.4,TC-Kckass
NASDAQ:MAR,MAR,NASDAQ,27,28.0,3.0,12.9,1.61,33.0,5.4,TC-Exceptional
NYSE:SLG,SLG,NYSE,27,23.1,2.2,3.3,1.32,41.5,4.9,TC-Core
AMEX:XBI,XBI,AMEX,25,28.3,4.6,11.6,2.58,24.6,5.5,TC-Kckass
